编号,NL描述,预期统计方法,预期分组变量,预期检验变量,验收状态,验收人,备注
1,计算各班级语文成绩的平均分、标准差,descriptives,,score,待验收,,基础描述统计
2,统计全班的年龄分布情况,frequencies,,age,待验收,,基础描述统计
3,计算考试成绩的基本统计量（均值、标准差、最大值、最小值）,descriptives,,score,待验收,,基础描述统计
4,分析全班成绩的中位数和四分位数,frequencies,,score,待验收,,基础描述统计
5,计算年龄的均值和标准差,descriptives,,age,待验收,,基础描述统计
6,统计性别的频数和百分比,frequencies,,gender,待验收,,基础描述统计
7,分析各班级的人数分布,frequencies,,class,待验收,,基础描述统计
8,计算成绩的偏度和峰度,frequencies,,score,待验收,,基础描述统计
9,描述年龄数据的集中趋势和离散程度,descriptives,,age,待验收,,基础描述统计
10,统计各班成绩的描述性统计量,descriptives,,score,待验收,,基础描述统计
11,比较男女生在成绩上的差异,independent_t_test,gender,score,待验收,,组间比较
12,分析不同班级的成绩是否存在显著差异,oneway_anova,class,score,待验收,,组间比较
13,比较男生和女生在年龄上是否有差别,independent_t_test,gender,age,待验收,,组间比较
14,实验组和对照组在焦虑量表得分上是否有差异,independent_t_test,gender,score,待验收,,组间比较
15,比较培训前后的成绩变化,paired_t_test,gender,score,待验收,,组间比较
16,不同年级的学生在数学成绩上有没有显著差异,oneway_anova,class,score,待验收,,组间比较
17,男女生在语文和数学成绩上分别有没有差别,independent_t_test,gender,score,待验收,,组间比较
18,A组和B组的测试结果是否存在显著差异,independent_t_test,gender,score,待验收,,组间比较
19,看看三个班级的成绩哪个最高,oneway_anova,class,score,待验收,,组间比较
20,男生和女生之间考试分数差别大吗,independent_t_test,gender,score,待验收,,组间比较
21,比较不同组别在成绩上是否有显著不同,oneway_anova,class,score,待验收,,组间比较
22,实验处理前后成绩是否有显著变化,paired_t_test,gender,score,待验收,,组间比较
23,各专业学生的毕业成绩有差异吗,oneway_anova,class,score,待验收,,组间比较
24,两组的治疗效果有没有显著差异,independent_t_test,gender,score,待验收,,组间比较
25,几个班级之间的考试平均分是否有显著差异,oneway_anova,class,score,待验收,,组间比较
26,研究收入和受教育年限之间的关系,pearson_correlation,,,待验收,,相关与回归
27,学习成绩能否预测未来收入,simple_regression,,,待验收,,相关与回归
28,年龄和考试成绩之间是否存在相关关系,pearson_correlation,,,待验收,,相关与回归
29,分析哪些因素影响了学生的考试成绩,simple_regression,,,待验收,,相关与回归
30,学习成绩和智商之间的相关性分析,pearson_correlation,,,待验收,,相关与回归
31,年龄和收入存在正相关关系吗,pearson_correlation,,,待验收,,相关与回归
32,受教育年限对工资水平的影响有多大,simple_regression,,,待验收,,相关与回归
33,两个连续变量之间的线性关系强度,pearson_correlation,,,待验收,,相关与回归
34,用年龄来预测成绩的准确度如何,simple_regression,,,待验收,,相关与回归
35,分数和排名之间存在怎样的关系,spearman_correlation,,,待验收,,相关与回归
36,性别和是否通过考试之间有关系吗,chi_square,gender,score,待验收,,交叉表与卡方
37,不同性别在班级分布上有差异吗,crosstabs,gender,class,待验收,,交叉表与卡方
38,专业和就业去向是否独立,chi_square,class,gender,待验收,,交叉表与卡方
39,不同学历层次和收入水平有关系吗,crosstabs,class,gender,待验收,,交叉表与卡方
40,治疗方法与康复结果是否相关,chi_square,gender,class,待验收,,交叉表与卡方
41,画出按性别分组的成绩箱线图,frequencies,,,待验收,,图表生成（模板不支持图表）
42,画一个成绩分布的直方图,frequencies,,,待验收,,图表生成（模板不支持图表）
43,做一张年龄和成绩的散点图,frequencies,,,待验收,,图表生成（模板不支持图表）
44,绘制各班级成绩的分组条形图,frequencies,,,待验收,,图表生成（模板不支持图表）
45,画出变量的相关性热力图,frequencies,,,待验收,,图表生成（模板不支持图表）
46,算一下男女在语文分数上有没得差别,independent_t_test,gender,score,待验收,,中文口语化表达
47,帮我瞅瞅年纪大的是不是工资也高,pearson_correlation,,,待验收,,中文口语化表达
48,班上男生女生的分儿差得多不,independent_t_test,gender,score,待验收,,中文口语化表达
49,这几个班的成绩到底哪个最好,oneway_anova,class,score,待验收,,中文口语化表达
50,年龄跟考分能扯上关系不,pearson_correlation,,,待验收,,中文口语化表达
